1, Doncaster,11:55,La-Z-Boy At KC Sofas Handicap Hurdle,3m 84y,(Class 3) (3YO plus),"Winner 5,809",Good to Soft,3
2, Doncaster,12:30,Ace.Odds Fillies' Juvenile Maiden Hurdle (GBB Race),2m 128y,(Class 4) (3YO only),"Winner 4,357",Good to Soft,10
3, Doncaster,13:05,Always Trying Racing Syndicate Novices' Limited Handicap Chase (GBB Race),2m 78y,(Class 3) (4YO plus),"Winner 6,337",Good to Soft,5
4, Doncaster,13:40,KC Sofas Doncaster Yorkshire Silver Vase Mares' Chase (Listed) (GBB Race),2m 4f 115y,(Class 1) (4YO plus),"Winner 42,202",Good to Soft,8
5, Doncaster,14:15,kcsofas.co.uk British EBF 'National Hunt' Novices' Hurdle (GBB Race),2m 3f 88y,(Class 4) (4YO to 6YO),"Winner 4,357",Good to Soft,13
6, Doncaster,14:45,Watch Off The Fence On attheraces.com Handicap Chase,2m 7f 214y,(Class 3) (4YO plus),"Winner 6,337",Good to Soft,6
7, Doncaster,15:20,Sky Sports Racing Sky 415 Conditional Jockeys' Handicap Hurdle,2m 128y,(Class 4) (3YO plus),"Winner 4,225",Good to Soft,5
8, Kelso,12:10,Belhaven Brewery Novices' Hurdle (GBB Race),2m 6f 151y,(Class 4) (4YO plus),"Winner 4,357",Good to Soft,9
9, Kelso,12:45,Slainte Mhath Handicap Hurdle,2m 6f 151y,(Class 3) (3YO plus),"Winner 7,922",Good to Soft,8
10, Kelso,13:20,Visit Kelso In 2024 Handicap Chase,2m 1f 14y,(Class 3) (4YO plus),"Winner 7,922",Good to Soft,5
11, Kelso,13:55,Children's Immunology Trust Supporting CHAS Novices' Limited Handicap Chase (GBB Race),2m 6f 70y,(Class 3) (4YO plus),"Winner 8,450",Good to Soft,5
12, Kelso,14:28,Every Race Live On Racing TV Mares' Handicap Hurdle,2m 2f 25y,(Class 4) (3YO plus),"Winner 4,753",Good to Soft,7
13, Kelso,15:02,Racing TV Maiden Hurdle (GBB Race),2m 51y,(Class 4) (4YO plus),"Winner 4,753",Good to Soft,14
14, Kelso,15:32,AJA Amateur Jockeys' Handicap Chase,3m 2f 39y,(Class 4) (4YO plus),"Winner 4,967",Good to Soft,6
15, Southwell,16:00,"Win 2,000,000 With BetMGM's Golden Goals Handicap (Div 1)",1m 13y,(Class 6) (3YO plus),"Winner 3,140",Standard  (AW - Tapeta),12
16, Southwell,16:30,"Win 2,000,000 With BetMGM's Golden Goals Handicap (Div 2)",1m 13y,(Class 6) (3YO plus),"Winner 3,140",Standard  (AW - Tapeta),12
17, Southwell,17:00,BetMGM: It's Showtime Restricted Novice Stakes (GBB Race),1m 13y,(Class 5) (3YO to 5YO),"Winner 4,104",Standard  (AW - Tapeta),8
18, Southwell,17:30,Best Racing Odds Guaranteed At BetMGM Nursery,1m 13y,(Class 6) (2YO only),"Winner 3,140",Standard  (AW - Tapeta),9
19, Southwell,18:00,Always Gamble Responsibly With BetUK Handicap,1m 4f 15y,(Class 2) (3YO plus),"Winner 13,190",Standard  (AW - Tapeta),11
20, Southwell,18:30,Find More Big Deals At BetUK Handicap,4f 214y,(Class 4) (3YO plus),"Winner 5,129",Standard  (AW - Tapeta),11
21, Southwell,19:00,Build Your Acca With BetUK Handicap,6f 16y,(Class 5) (3YO plus),"Winner 3,873",Standard  (AW - Tapeta),12
22, Southwell,19:30,Boost Your Acca-Fenwa With BetUK Classified Stakes,6f 16y,(Class 6) (2YO plus),"Winner 3,140",Standard  (AW - Tapeta),12
23, Leopardstown (IRE),12:00,Adare Manor Opportunity Handicap Chase (0-123),2m 5f 70y,(4YO plus),"Winner eu11,999",Soft,16
24, Leopardstown (IRE),12:35,Pigsback.com Maiden Hurdle,2m 4f,(5YO plus),"Winner eu9,000",Heavy,9
25, Leopardstown (IRE),13:10,BeattheBank.ie Irish EBF Mares Hurdle (Grade 3),2m 4f,(Class 1) (4YO plus),"Winner eu24,000",Heavy,10
26, Leopardstown (IRE),13:45,Neville Hotels Novice Chase (Grade 1),3m 100y,(Class 1) (4YO plus),"Winner eu60,000",Soft,6
27, Leopardstown (IRE),14:20,Matheson Hurdle (Grade 1),2m,(Class 1) (4YO plus),"Winner eu90,000",Heavy,4
28, Leopardstown (IRE),14:55,Timeless Sash Windows Irish EBF Novice Handicap Hurdle (80-130),2m 4f,(4YO plus),"Winner eu15,000",Heavy,13
29, Leopardstown (IRE),15:25,Plusvital Flat Race,2m,(4YO plus),"Winner eu11,999",Heavy,10
30, Limerick (IRE),12:20,Geary's Garage Veterans Handicap Chase,2m 6f 120y,(10YO plus),"Winner eu9,000",Heavy,5
31, Limerick (IRE),12:55,Limerick Racecourse Vets Novice Handicap Chase (0-109),2m 6f 120y,(4YO plus),"Winner eu6,900",Heavy,13
32, Limerick (IRE),13:30,QuinnBet Handicap Hurdle (Listed),2m,(Class 1) (3YO to 4YO),"Winner eu27,000",Heavy,10
33, Limerick (IRE),14:05,Parkway Shopping Centre Rated Novice Hurdle,2m,(4YO plus),"Winner eu6,900",Heavy,8
34, Limerick (IRE),14:35,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle,2m 3f,(4YO plus),"Winner eu11,999",Heavy,11
35, Limerick (IRE),15:10,Get In The Game Racing Maiden Hurdle (In Memory Of Andrew McNamara),2m 3f,(4YO plus),"Winner eu7,500",Heavy,18
36, Limerick (IRE),15:42,QuinnBet Handicap Hurdle (80-102),2m 3f,(3YO plus),"Winner eu6,300",Heavy,18
